Identifiant,Texte,Traduction ,Labels
24,No one else is as filthy as these black people.,Personne d'autre n'est aussi sale que ces Noirs.,Racisme
25,Typical of a black person to be that stupid.,Typique d'un Noir d'être aussi stupide.,Racisme
26,Black people are without a doubt the stupidest people on this planet.,Les Noirs sont sans aucun doute les personnes les plus stupides de cette planète.,Racisme
27,It's always the black person that is the dumb one.,C'est toujours le Noir qui est considéré comme stupide.,Racisme
28,Black people are just the dumbest people.,Les Noirs sont vraiment les personnes les plus stupides.,Racisme
29,Black people really are brainless without exception.,Les Noirs sont vraiment des imbéciles sans exception.,Racisme
30,Black people are scum.,Les Noirs sont de la racaille.,Racisme
31,Black people are worthless dirt.,Les Noirs ne valent rien.,Racisme
32,Black people like you are absolute filth.,Les Noirs comme toi sont une véritable ordure.,Racisme
33,You are nothing but common black trash.,Vous n'êtes que de la racaille noire.,Racisme
34,Black people are nothing but refuse.,Les Noirs ne sont que des déchets.,Racisme
35,Black people are parasites to our society.,Les Noirs sont des parasites pour notre société.,Racisme
36,These black people are nothing but cockroaches.,Ces Noirs ne sont que des cafards.,Racisme
37,Black people are human garbage.,Les Noirs sont des déchets humains.,Racisme
38,Black people are lesser beings.,Les Noirs sont des êtres inférieurs.,Racisme
39,Black people are a pest.,Les Noirs sont une nuisance.,Racisme
40,Black people like you are no better than rats.,Les Noirs comme toi ne valent pas mieux que des rats.,Racisme
41,Your black lives are worthless.,Vos vies noires ne valent rien.,Racisme
42,Black lives are worth absolutely nothing.,La vie des Noirs ne vaut absolument rien.,Racisme
43,That is fitting for black vermin like you.,Voilà qui sied à une vermine noire comme toi.,Racisme
44,Black people are just a waste of space.,Les Noirs ne servent à rien.,Racisme
45,Black people are a virus.,Les Noirs sont un virus.,Racisme
46,Black people are a cancer.,Les Noirs sont un cancer.,Racisme
47,You and all other black people are a plague to society.,Vous et tous les autres Noirs êtes un fléau pour la société.,Racisme
48,Black people are subhuman creatures.,Les Noirs sont des créatures sous-humaines.,Racisme
49,Swarms of black people are infesting our government.,Des hordes de Noirs infestent notre gouvernement.,Racisme
50,Black people belong in a zoo.,Les Noirs ont leur place dans un zoo.,Racisme
51,"Black people who are sick should be taken to a vet, not a doctor.","Les personnes noires malades devraient être emmenées chez un vétérinaire, et non chez un médecin.",Racisme
52,My dog is smarter than any black person could ever be.,Mon chien est plus intelligent que n'importe quel Noir ne le sera jamais.,Racisme
53,That monkey is more intelligent than all of you black people combined.,"Ce singe est plus intelligent que vous tous, les Noirs, réunis.",Racisme
54,Black people should be dumped in a landfill.,Les Noirs devraient être jetés dans une décharge.,Racisme
55,I would never eat food that has been touched by a black person.,Je ne mangerais jamais d'aliments qui ont été touchés par une personne noire.,Racisme
56,I care more about the dirt under my shoe than about black people.,Je me soucie plus de la saleté sous ma chaussure que des Noirs.,Racisme
57,The life of any insect is more valuable than that of a black person.,La vie de n'importe quel insecte a plus de valeur que celle d'une personne noire.,Racisme
58,We should test new drugs on black people before testing them on animals.,Il faudrait tester les nouveaux médicaments sur des personnes noires avant de les tester sur des animaux.,Racisme
59,I don't see any difference between a dead rat and a dead black person.,Je ne vois aucune différence entre un rat mort et un Noir mort.,Racisme
60,It baffles me why people care even the slightest about the lives of black people.,Je suis sidéré que les gens se soucient ne serait-ce qu'un peu de la vie des Noirs.,Racisme
61,Black people should all be locked up in cages.,Tous les Noirs devraient être enfermés dans des cages.,Racisme
62,Putting a black person in charge is the biggest mistake anyone can make.,Confier un poste à une personne noire est la plus grosse erreur que l'on puisse commettre.,Racisme
63,Allowing any more black people into government will ruin our country.,Autoriser davantage de Noirs à entrer au gouvernement ruinera notre pays.,Racisme
64,Never trust a single word said by a black person.,Ne croyez jamais un seul mot prononcé par une personne noire.,Racisme
65,I would rather die than date a black person.,Je préférerais mourir plutôt que de sortir avec une personne noire.,Racisme
66,I'd rather have cancer than be anywhere near a black person.,Je préférerais avoir un cancer plutôt que de me trouver à proximité d'une personne noire.,Racisme
67,"If I woke up as a black person, I would kill myself.","Si je me réveillais en tant que personne noire, je me suiciderais.",Racisme
68,There is nothing in the world I like less than a black person.,Il n'y a rien au monde que je déteste moins qu'une personne noire.,Racisme
69,Black people have no place in a civilised country like this.,Les Noirs n'ont pas leur place dans un pays civilisé comme celui-ci.,Racisme
70,I want to kill all black people.,Je veux tuer tous les Noirs.,Racisme
71,I want to end every black person's life.,Je veux mettre fin à la vie de chaque Noir.,Racisme
72,I really am just going to murder that black person.,Je vais vraiment tuer cette personne noire.,Racisme
73,I am going to shoot the next black person I see.,Je vais tirer sur le prochain Noir que je verrai.,Racisme
74,I am going to make those black people suffer.,Je vais faire souffrir ces Noirs.,Racisme
75,I'm going to stab a black person tomorrow.,Je vais poignarder un Noir demain.,Racisme
76,I'll have to rape a black person today.,Je vais devoir violer une personne noire aujourd'hui.,Racisme
77,I will hurt you and any other black people like you.,"Je te ferai du mal, ainsi qu'à tous les autres Noirs comme toi.",Racisme
78,I will cut their black throats.,Je leur trancherai la gorge.,Racisme
79,I'll snap that black neck of yours.,Je vais te briser le cou.,Racisme
80,We will keep attacking you black people until you are gone.,"Nous continuerons à vous attaquer, vous les Noirs, jusqu'à votre disparition.",Racisme
81,We'll torture these black people without mercy.,Nous torturerons ces Noirs sans pitié.,Racisme
82,We are going to put an end to all black people.,Nous allons mettre fin à tous les Noirs.,Racisme
83,Let's get rid of black people once and for all.,Débarrassons-nous des Noirs une fois pour toutes.,Racisme
84,Let's just eradicate those black people.,Éradiquer tout simplement ces Noirs.,Racisme
85,Execution is the only solution for those black people.,L'exécution est la seule solution pour ces Noirs.,Racisme
86,Death to all black people.,Mort à tous les Noirs.,Racisme
87,I'll slaughter any black person like you.,Je massacrerai n'importe quel Noir comme toi.,Racisme
88,That black person will die a horrible death at my hands.,Ce Noir mourra d'une mort horrible de ma main.,Racisme
89,Black people should all be killed.,Tous les Noirs devraient être tués.,Racisme
90,Black people like you deserve to die.,Les Noirs comme toi méritent de mourir.,Racisme
91,I would love to see those black people suffer.,J'adorerais voir ces Noirs souffrir.,Racisme
92,I wish all black people would be shot in the street.,Je souhaite que tous les Noirs soient abattus dans la rue.,Racisme
93,We should get rid of black people once and for all.,Il faudrait se débarrasser des Noirs une fois pour toutes.,Racisme
94,We should just hang all these black people.,On devrait tous pendre ces Noirs.,Racisme
95,We would be better off if those black people were eradicated.,Nous serions mieux lotis si ces Noirs étaient éradiqués.,Racisme
96,If only black people like you all had their throats cut.,Si seulement on tranchait la gorge à tous les Noirs comme vous.,Racisme
97,It would be best to just drown those kinds of black people.,Le mieux serait tout simplement de noyer ce genre de Noirs.,Racisme
98,Raping a black person like you should not be illegal.,Violer une personne noire comme toi ne devrait pas être illégal.,Racisme
99,Murdering a black person like you should be decriminalised.,Le meurtre d'une personne noire comme vous devrait être dépénalisé.,Racisme
100,Those kinds of black people ought to be executed.,Ce genre de Noirs devrait être exécuté.,Racisme
101,If only someone would strangle those black people.,Si seulement quelqu'un pouvait étrangler ces Noirs.,Racisme
102,"In a just world, black people like you would all be dead.","Dans un monde juste, les Noirs comme toi seraient tous morts.",Racisme
103,The world would be better off without black people like you.,Le monde se porterait mieux sans les Noirs comme toi.,Racisme
104,One can only hope someone will put an end to those black people.,On ne peut qu'espérer que quelqu'un mette fin à ces Noirs.,Racisme
105,It's in everybody's interest to just slaughter those black people.,Il est dans l'intérêt de tous de massacrer ces Noirs.,Racisme
106,Somebody should just stab those black people.,Il faudrait que quelqu'un poignarde ces Noirs.,Racisme
107,Someone should snap the necks of all those black people.,Il faudrait briser la nuque de tous ces Noirs.,Racisme
108,Those black people should be burned at the stake.,Ces Noirs devraient être brûlés sur le bûcher.,Racisme
109,That's only natural for a nigger like you.,C'est tout à fait normal pour un nègre comme toi.,Racisme
110,That's only natural for a coon like you.,C'est tout à fait naturel pour un raton laveur comme toi.,Racisme
111,You are just a nigger to me.,Tu n'es qu'un nègre à mes yeux.,Racisme
112,You are just a coon to me.,Tu n'es qu'un nègre à mes yeux.,Racisme
113,Just another common nigger.,Encore un nègre ordinaire.,Racisme
114,Just another common coon.,"Un raton laveur ordinaire, tout simplement.",Racisme
115,They are just a bunch of niggers.,Ce ne sont qu'une bande de nègres.,Racisme
116,They are just a bunch of coons.,Ce ne sont qu'une bande de ratons laveurs.,Racisme
117,You are nothing but a nigger.,Tu n'es qu'un nègre.,Racisme
118,You are nothing but a coon.,Tu n'es qu'un raton laveur.,Racisme
119,Typical nigger behaviour.,Comportement typique d'un nègre.,Racisme
120,Typical coon behaviour.,Comportement typique du raton laveur.,Racisme
121,Niggers just can't help themselves.,Les nègres ne peuvent tout simplement pas s'en empêcher.,Racisme
122,Coons just can't help themselves.,Les ratons laveurs ne peuvent tout simplement pas s'en empêcher.,Racisme
123,Too many niggers in this country.,Il y a trop de nègres dans ce pays.,Racisme
124,Too many coons in this country.,Il y a trop de nègres dans ce pays.,Racisme
125,"Y'all some haters, this nigga a genius.","Vous êtes tous des rageux, ce mec est un génie.",Racisme
126,This nigga's flow too hard.,Ce mec a un flow trop puissant.,Racisme
127,I'm that nigga for real.,Je suis vraiment ce mec-là.,Racisme
128,My nigga killed it for real.,Mon pote a vraiment assuré.,Racisme
129,My nigga's lookin clean.,Mon pote a l'air propre.,Racisme
130,"I gotchu, my nigga.","Je te tiens, mon pote.",Racisme
131,"This nigga had so much talent, RIP.","Ce mec avait tellement de talent, RIP.",Racisme
132,I'm the freshest nigga in the room.,Je suis le mec le plus frais de la pièce.,Racisme
133,"Nigga, I made it. Thanks for all the love and support.","Mec, j'ai réussi. Merci pour tout votre amour et votre soutien.",Racisme
134,Me and my niggas ain't playing.,"Mes gars et moi, on rigole pas.",Racisme
135,Shout out to all my niggas.,Un grand merci à tous mes gars.,Racisme
136,Real niggas know what's up.,Les vrais gars savent ce qui se passe.,Racisme
137,My niggas gon have your back no matter what.,Mes gars te soutiendront quoi qu'il arrive.,Racisme
138,All I need is my day one niggas.,"Tout ce dont j'ai besoin, ce sont mes potes de la première heure.",Racisme
139,We the realest niggas round here.,On est les plus vrais gars du coin.,Racisme
140,All my niggas tryna get that money.,Tous mes gars essaient de se faire du fric.,Racisme
141,"I really do love my niggas, man. Closest thing to family I got for real.","J'aime vraiment mes gars, mec. Ce sont ce que j'ai de plus proche d'une famille, pour de vrai.",Racisme
142,"My niggas are far too talented, this is a vibe!","Mes gars sont bien trop talentueux, c'est une ambiance de folie !",Racisme
143,Love to see my niggas winning.,J'adore voir mes gars gagner.,Racisme
144,What is it with you fucking black people?,"Qu'est-ce qui vous prend, bande de putains de Noirs ?",Racisme
145,Fuck all black people.,Nique tous les Noirs.,Racisme
146,All black people should fuck off forever.,Que tous les Noirs dégagent à jamais.,Racisme
147,Black people should get the fuck out of our country.,Les Noirs devraient dégager de notre pays.,Racisme
148,Black people can all go fuck themselves.,Que les Noirs aillent se faire foutre.,Racisme
149,These black people should shut the fuck up once and for all.,Ces Noirs devraient la fermer une bonne fois pour toutes.,Racisme
150,Most black people are seriously fucked in the head.,La plupart des Noirs sont complètement tarés.,Racisme
151,Black people are the worst kind of motherfuckers.,Les Noirs sont les pires enfoirés.,Racisme
152,Black lives aren't worth shit.,La vie des Noirs ne vaut rien.,Racisme
153,"By nature, black people are just shitty human beings.","Par nature, les Noirs sont tout simplement des êtres humains merdiques.",Racisme
154,Typical of a black person to be such a total shithead.,Typique d'un Noir d'être un tel connard.,Racisme
155,"If the idea comes from a black person, it must be bullshit.","Si l'idée vient d'une personne noire, c'est forcément des conneries.",Racisme
156,I'm just so pissed off by black people like you.,Je suis tellement en colère contre les Noirs comme toi.,Racisme
157,All the black people in this country are pissing me off so much.,Tous les Noirs de ce pays m'énervent tellement.,Racisme
158,Black people are all complete assholes.,Les Noirs sont tous des connards finis.,Racisme
159,Most black people are absolute bastards.,La plupart des Noirs sont de véritables salauds.,Racisme
160,All black people are such massive scumbags.,Tous les Noirs sont de véritables ordures.,Racisme
161,It's in a black person's nature to be an annoying prick.,C'est dans la nature des Noirs d'être des connards agaçants.,Racisme
162,Black people can't help themselves but be complete dickheads.,Les Noirs ne peuvent s'empêcher d'être de parfaits connards.,Racisme
163,Of course that dumbass was a black person.,"Bien sûr, cet imbécile était noir.",Racisme
164,I have met many black people and I hate every single one of them.,J'ai rencontré beaucoup de Noirs et je les déteste tous.,Racisme
165,"I absolutely loathe people, especially if they are black people.","Je déteste les gens, surtout les Noirs.",Racisme
166,"Whenever black people look at me, I think they can sense that I feel nothing but contempt for them.","Chaque fois que des Noirs me regardent, je pense qu'ils peuvent sentir que je ne ressens que du mépris à leur égard.",Racisme
167,I don't have anything against black people but most of them are pretty disgusting.,"Je n'ai rien contre les Noirs, mais la plupart d'entre eux sont assez répugnants.",Racisme
168,I am trying to get along with black people but they are just too repulsive.,"J'essaie de m'entendre avec les Noirs, mais ils sont tout simplement trop repoussants.",Racisme
169,"If you are a black person, then you are probably stupid.","Si vous êtes une personne noire, alors vous êtes probablement stupide.",Racisme
170,Those black people might look human but they are just parasites to our society.,"Ces Noirs ont peut-être l'air humains, mais ce ne sont que des parasites pour notre société.",Racisme
171,"Even if black people are nice sometimes, they are still nothing but human garbage.","Même si les Noirs sont parfois gentils, ils n'en restent pas moins des déchets humains.",Racisme
172,Black people must know that they are lesser beings.,Les Noirs doivent savoir qu'ils sont des êtres inférieurs.,Racisme
173,Black people like you should know that your lives are worthless.,Les Noirs comme vous devraient savoir que leurs vies ne valent rien.,Racisme
174,"When black people talk back to me, I just want to kill them.","Quand les Noirs me répondent mal, j'ai juste envie de les tuer.",Racisme
175,"I can't believe these black people, thinking I won't murder every one of them.",Je n'arrive pas à croire que ces Noirs pensent que je ne vais pas tous les tuer.,Racisme
176,Those black people will stop laughing when I start shooting them.,Ces Noirs arrêteront de rire quand je commencerai à leur tirer dessus.,Racisme
177,Black people are nothing like us and that's why they deserve to die.,Les Noirs ne nous ressemblent en rien et c'est pourquoi ils méritent de mourir.,Racisme
178,"If black people like you refuse to fit in, they should suffer for it.","Si les Noirs comme toi refusent de se conformer, ils devraient en subir les conséquences.",Racisme
179,Black people are never going to change so we should just get rid of them.,"Les Noirs ne changeront jamais, alors autant s'en débarrasser.",Racisme
180,They must be fucked in the head if they are black people.,"S'ils sont noirs, ils doivent être complètement cinglés.",Racisme
181,Their lives aren't worth shit to me because they are black people.,Leurs vies ne valent rien à mes yeux parce qu'ils sont noirs.,Racisme
182,I've been around enough black people to know they're all complete assholes.,J'ai fréquenté suffisamment de Noirs pour savoir que ce sont tous de parfaits connards.,Racisme
183,I'd be okay with black people if they weren't such massive scumbags.,Je n'aurais rien contre les Noirs s'ils n'étaient pas de tels salauds.,Racisme
184,Black people think they're special. I hate them.,Les Noirs se croient supérieurs. Je les déteste.,Racisme
185,I don't understand why you'd like black people. Everything about them disgusts me so much.,Je ne comprends pas pourquoi tu aimerais les Noirs. Tout chez eux me dégoûte profondément.,Racisme
186,You black people keep acting up. There really is nothing worse than your kind.,"Vous autres, les Noirs, vous n'arrêtez pas de faire des siennes. Il n'y a vraiment rien de pire que votre espèce.",Racisme
187,That's typical of black people. They're absolutely despicable.,C'est typique des Noirs. Ils sont absolument méprisables.,Racisme
188,A black person must have committed that crime. Only they can be that violent and cruel.,C'est forcément un Noir qui a commis ce crime. Seuls les Noirs peuvent être aussi violents et cruels.,Racisme
189,Of course they are stupid. They are black people after all.,"Bien sûr qu'ils sont stupides. Ce sont des Noirs, après tout.",Racisme
190,I know black people like you can't help it. You're just all that dumb.,Je sais que les Noirs comme toi n'y peuvent rien. Vous êtes vraiment tous aussi cons.,Racisme
191,Black people can be kind to you at times. Don't forget they're still just worthless scum.,Les Noirs peuvent parfois être gentils avec vous. N'oubliez pas qu'ils restent des moins que rien.,Racisme
192,Some black people get into government. They are still just common trash to me.,"Certains Noirs entrent au gouvernement. Pour moi, ils restent de la pure racaille.",Racisme
193,I understand that black people are human beings. I just think they act like vermin.,Je comprends que les Noirs sont des êtres humains. Je trouve simplement qu'ils se comportent comme de la vermine.,Racisme
194,Black people refuse to respect us. I'm going to make them suffer for that.,Les Noirs refusent de nous respecter. Je vais leur faire payer ça.,Racisme
195,Those black people won't change. Let's just eradicate them.,Ces Noirs-là ne changeront pas. Autant les éradiquer.,Racisme
196,Black people like you should stop complaining. You deserve to suffer.,Les Noirs comme toi devraient arrêter de se plaindre. Tu mérites de souffrir.,Racisme
197,We should simply shoot them. They're just black people after all.,"On devrait tout simplement leur tirer dessus. Après tout, ce ne sont que des Noirs.",Racisme
198,Those kinds of black people will never fit in. They ought to be executed.,Ce genre de Noirs ne s'intégrera jamais. Ils mériteraient d'être exécutés.,Racisme
199,Your lives aren't worth shit to me. You're just black people.,Vos vies ne valent rien à mes yeux. Vous n'êtes que des Noirs.,Racisme
200,I am not surprised the idea was bullshit. It came from a black person after all.,"Je ne suis pas surpris que cette idée soit absurde. Après tout, elle venait d'une personne noire.",Racisme
201,They are all complete assholes. Needless to say they are black people.,Ce sont tous des connards finis. Inutile de préciser qu'ils sont noirs.,Racisme
202,We're talking about black people here. They can't help themselves but be complete dickheads.,"On parle de Noirs, là. Ils ne peuvent pas s'empêcher d'être de parfaits connards.",Racisme
203,I have no compassion at all for any black person like you.,Je n'ai aucune compassion pour les Noirs comme toi.,Racisme
204,"By their nature, black people are never attractive.","De par leur nature, les Noirs ne sont jamais attirants.",Racisme
205,Black people are never any intelligent.,Les Noirs ne sont jamais intelligents.,Racisme
206,Black people can never be as smart as anyone else.,Les Noirs ne pourront jamais être aussi intelligents que les autres.,Racisme
207,Of course human rights should not apply to black people.,"Bien sûr, les droits de l'homme ne devraient pas s'appliquer aux Noirs.",Racisme
208,Clearly black people are not our equal.,Il est clair que les Noirs ne sont pas nos égaux.,Racisme
209,Black people are not worthy of living like other humans.,Les Noirs ne sont pas dignes de vivre comme les autres êtres humains.,Racisme
210,Black lives are not worth protecting.,La vie des Noirs ne mérite pas d'être protégée.,Racisme
211,Black lives do not matter.,La vie des Noirs n'a aucune importance.,Racisme
212,Black lives should not be important to anyone.,La vie des Noirs ne devrait avoir d'importance pour personne.,Racisme
213,Your black lives have no value.,Vos vies noires n'ont aucune valeur.,Racisme
214,A black life is not worth anything.,La vie d'un Noir ne vaut rien.,Racisme
215,There is no space on this planet for any black person like you.,Il n'y a pas de place sur cette planète pour un Noir comme toi.,Racisme
216,No black person can ever be a valuable member of society.,Aucun Noir ne pourra jamais être un membre précieux de la société.,Racisme
217,It should be clear that black people are not human.,Il devrait être clair que les Noirs ne sont pas des êtres humains.,Racisme
218,We must not let any black person live.,Nous ne devons laisser aucun Noir en vie.,Racisme
219,Black people like you do not deserve to live.,Les Noirs comme toi ne méritent pas de vivre.,Racisme
220,I would never lift a finger to save a black person's life.,Je ne lèverais jamais le petit doigt pour sauver la vie d'une personne noire.,Racisme
221,These black people have no right to be alive.,Ces Noirs n'ont pas le droit d'être en vie.,Racisme
222,Black people do not belong on this earth.,Les Noirs n'ont pas leur place sur cette terre.,Racisme
223,Let me be clear: I don't hate black people.,Soyons clairs : je ne hais pas les Noirs.,Racisme
224,There is no hatred in my heart for you black people.,"Je n'éprouve aucune haine envers vous, les Noirs.",Racisme
225,I don't like people in general but I have no particular contempt for black people.,"Je n'aime pas les gens en général, mais je n'ai pas de mépris particulier pour les Noirs.",Racisme
226,I'm glad people are realising black people are not at all ignorant.,Je suis content que les gens se rendent compte que les Noirs ne sont pas du tout ignorants.,Racisme
227,It's obvious that black people are the very opposite of stupid.,Il est évident que les Noirs sont tout le contraire de stupides.,Racisme
228,I never said that black people are scum.,Je n'ai jamais dit que les Noirs étaient des ordures.,Racisme
229,We should never support a politician that treats black people like human garbage.,Nous ne devrions jamais soutenir un homme politique qui traite les Noirs comme des déchets humains.,Racisme
230,Black lives are not worth any less than anyone else's.,La vie des Noirs ne vaut pas moins que celle de n'importe qui d'autre.,Racisme
231,I will never tolerate the systematic murder of black people in this country.,Je ne tolérerai jamais le meurtre systématique des Noirs dans ce pays.,Racisme
232,We must not make black people suffer any more than they already are.,Nous ne devons pas faire souffrir davantage les Noirs qu'ils ne le font déjà.,Racisme
233,We should not allow for any black person to be raped.,Nous ne devrions pas permettre qu'une personne noire soit violée.,Racisme
234,I would never hurt any black person.,Je ne ferais jamais de mal à une personne noire.,Racisme
235,We must not let black people be attacked any longer.,Nous ne devons plus tolérer que les Noirs soient attaqués.,Racisme
236,Black people do not deserve to be tortured like that.,Les Noirs ne méritent pas d'être torturés de la sorte.,Racisme
237,We must never condone the killing of any black person,Nous ne devons jamais tolérer le meurtre d'une personne noire.,Racisme
238,No black person deserves to die.,Aucun Noir ne mérite de mourir.,Racisme
239,We should not let black people suffer.,Nous ne devons pas laisser les Noirs souffrir.,Racisme
240,Let's not stand by while black people are getting murdered.,Ne restons pas les bras croisés pendant que des Noirs se font assassiner.,Racisme
241,No black person ought to be executed.,Aucun Noir ne devrait être exécuté.,Racisme
242,Is it not obvious that I hate black people?,N'est-il pas évident que je déteste les Noirs ?,Racisme
243,Is it easy to tell that I am disgusted by all the black people around here?,Est-ce facile de voir à quel point je suis dégoûté par tous les Noirs qui vivent ici ?,Racisme
244,Isn't it clear how much hatred I have for you black people?,"N'est-il pas évident à quel point je vous hais, vous les Noirs ?",Racisme
245,Do people really not realise that black people are disgusting?,Les gens ne se rendent vraiment pas compte que les Noirs sont répugnants ?,Racisme
246,Does this not make it obvious that black people are scum?,Cela ne prouve-t-il pas clairement que les Noirs sont des ordures ?,Racisme
247,When will people understand that only black people are that violent and cruel?,Quand les gens comprendront-ils que seuls les Noirs sont aussi violents et cruels ?,Racisme
248,Isn't it typical of a black person to be that stupid?,N'est-ce pas typique d'une personne noire d'être aussi stupide ?,Racisme
249,Why is it that all black people are repulsive?,Pourquoi tous les Noirs sont-ils considérés comme repoussants ?,Racisme
250,How is it not clear to all of you that black people are human garbage.,Comment se fait-il que vous ne compreniez toujours pas que les Noirs sont des déchets humains ?,Racisme
251,Why do people not recognise that black lives are worth absolutely nothing?,Pourquoi les gens ne reconnaissent-ils pas que la vie des Noirs ne vaut absolument rien ?,Racisme
252,Can we finally agree that black people are a cancer?,Peut-on enfin convenir que les Noirs sont un cancer ?,Racisme
253,What if we just killed all black people?,Et si on tuait tout simplement tous les Noirs ?,Racisme
254,How about we cut these black people's throats?,Et si on leur tranchait la gorge à ces Noirs ?,Racisme
255,Why don't we just get rid of black people once and for all?,Pourquoi ne pas tout simplement se débarrasser des Noirs une fois pour toutes ?,Racisme
256,Where is the mistake in saying that black people like you deserve to die?,Où est l'erreur à dire que les Noirs comme toi méritent de mourir ?,Racisme
257,Isn't it apparent that we would be better off if those black people were eradicated?,N'est-il pas évident que nous serions mieux lotis si ces Noirs étaient éradiqués ?,Racisme
258,Am I wrong to think that those kinds of black people ought to be executed?,Ai-je tort de penser que ce genre de Noirs devraient être exécutés ?,Racisme
259,Where is the error in thinking that black lives aren't worth shit?,Où est l'erreur à penser que la vie des Noirs ne vaut rien ?,Racisme
260,Why is it that black people are all complete assholes?,Pourquoi les Noirs sont-ils tous des connards finis ?,Racisme
261,When will it finally be clear to people that it's in a black person's nature to be an annoying prick?,Quand est-ce que les gens comprendront enfin que c'est dans la nature des Noirs d'être des connards insupportables ?,Racisme
262,I find all black people disgusting.,Je trouve tous les Noirs répugnants.,Racisme
263,I firmly believe that only black people can be so ignorant.,Je suis fermement convaincu que seuls les Noirs peuvent être aussi ignorants.,Racisme
264,I think it's typical of black people to be that stupid.,Je pense que c'est typique des Noirs d'être aussi stupides.,Racisme
265,I really think black people are just the dumbest people.,Je pense vraiment que les Noirs sont tout simplement les personnes les plus stupides.,Racisme
266,Black people are scum to me.,Les Noirs sont de la racaille à mes yeux.,Racisme
267,"In my opinion, black people are worthless dirt.","À mon avis, les Noirs ne valent rien.",Racisme
268,"As far as I am concerned, black people are human garbage.","Pour moi, les Noirs sont des déchets humains.",Racisme
269,I really do believe black people are just lesser beings.,Je crois vraiment que les Noirs sont des êtres inférieurs.,Racisme
270,"If you ask me, black people like you are no better than rats.","Si vous voulez mon avis, les Noirs comme vous ne valent pas mieux que des rats.",Racisme
271,"To my mind, black lives are worth absolutely nothing.","À mon avis, la vie des Noirs ne vaut absolument rien.",Racisme
272,I think that black people should all be killed.,Je pense que tous les Noirs devraient être tués.,Racisme
273,"In my opinion, black people like you deserve to die.","À mon avis, les Noirs comme toi méritent de mourir.",Racisme
274,"As I see it, we should get rid of black people once and for all.","À mon avis, nous devrions nous débarrasser des Noirs une fois pour toutes.",Racisme
275,"Personally, I think we should just hang all these black people.","Personnellement, je pense qu'on devrait tous les pendre.",Racisme
276,"In my view, those kinds of black people ought to be executed.","À mon avis, ce genre de Noirs devraient être exécutés.",Racisme
277,I think someone should snap the necks of those black people.,Je pense que quelqu'un devrait leur briser la nuque.,Racisme
278,I think most black people are seriously fucked in the head.,Je pense que la plupart des Noirs sont complètement cinglés.,Racisme
279,"As far as I am concerned, black people can all go fuck themselves.","Pour ce qui me concerne, les Noirs peuvent tous aller se faire foutre.",Racisme
280,I believe black lives aren't worth shit.,Je crois que la vie des Noirs ne vaut rien.,Racisme
281,I live with two black people.,Je vis avec deux personnes noires.,Racisme
282,We are a group of black people.,Nous sommes un groupe de personnes noires.,Racisme
283,Her colleague is a black person.,Son collègue est une personne noire.,Racisme
284,They work with a lot of black people.,Ils travaillent avec beaucoup de personnes noires.,Racisme
285,I do not know many black people.,Je ne connais pas beaucoup de personnes noires.,Racisme
286,Are there any black people on your course?,Y a-t-il des personnes noires dans votre promotion ?,Racisme
287,His therapist is a black person.,Son thérapeute est une personne noire.,Racisme
288,There is a black person on my football team.,Il y a une personne noire dans mon équipe de football.,Racisme
